Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
123.36,5.19,5,0,0.114577,0.8
123.46,5.19,5,0,0.245755,0.8
123.56,5.19,5,0,0.480582,0.8
123.66,5.19,5,0,0.858055,0.8
123.76,5.19,5,0,1.40059,0.8
123.86,5.19,5,0,2.09802,0.8
123.96,5.19,5,0,2.89451,0.8
124.06,5.19,5,0,3.70517,0.8
124.16,5.19,5,0,4.4442,0.8
124.26,5.19,5,0,5.07603,0.8
124.36,5.19,5,0,5.64264,0.8
124.46,5.19,5,0,6.26669,0.8
124.56,5.19,5,0,7.11511,0.8
124.66,5.19,5,0,8.33734,0.8
124.76,5.19,5,0,9.99269,0.8
124.86,5.19,5,0,11.9915,0.8
124.96,5.19,5,0,14.0742,0.8
125.06,5.19,5,0,15.849,0.8
125.16,5.19,5,0,16.8932,0.8
125.26,5.19,5,0,16.8934,0.8
125.36,5.19,5,0,15.7665,0.8
125.46,5.19,5,0,13.7079,0.8
125.56,5.19,5,0,11.1541,0.8
125.66,5.19,5,0,8.66757,0.8
125.76,5.19,5,0,6.81653,0.8
125.86,5.19,5,0,6.08718,0.8
125.96,5.19,5,0,6.83731,0.8
126.06,5.19,5,0,9.25474,0.8
126.16,5.19,5,0,13.2731,0.8
126.26,5.19,5,0,18.4875,0.8
126.36,5.19,5,0,24.1264,0.8
126.46,5.19,5,0,29.1637,0.8
126.56,5.19,5,0,32.5964,0.8
126.66,5.19,5,0,33.7792,0.8
126.76,5.19,5,0,32.6539,0.8
126.86,5.19,5,0,29.7441,0.8
126.96,5.19,5,0,25.9178,0.8
127.06,5.19,5,0,22.0469,0.8
127.16,5.19,5,0,18.7199,0.8
127.26,5.19,5,0,16.1301,0.8
127.36,5.19,5,0,14.1425,0.8
127.46,5.19,5,0,12.4632,0.8
127.56,5.19,5,0,10.8225,0.8
127.66,5.19,5,0,9.08828,0.8
127.76,5.19,5,0,7.28663,0.8
127.86,5.19,5,0,5.54087,0.8
127.96,5.19,5,0,3.9964,0.8
128.06,5.19,5,0,2.74916,0.8
128.16,5.19,5,0,1.8239,0.8
128.26,5.19,5,0,1.18507,0.8
128.36,5.19,5,0,0.7638,0.8
128.46,5.19,5,0,0.490829,0.8
128.56,5.19,5,0,0.312836,0.8
128.66,5.19,5,0,0.194068,0.8
128.76,5.19,5,0,0.114798,0.8
128.86,5.19,5,0,0.0640172,0.8
128.96,5.19,5,0,0.033509,0.8
129.06,5.19,5,0,0.0161752,0.8
129.16,5.19,5,0,0.00701352,0.8
129.26,5.19,5,0,0.00289792,0.8
129.36,5.19,5,0,0.00110388,0.8
129.46,5.19,5,0,0.000281755,0.8
122.86,5.09,5,0,0.000402375,0.8
122.96,5.09,5,0,0.00128683,0.8
123.06,5.09,5,0,0.00505842,0.8
123.16,5.09,5,0,0.0152837,0.8
123.26,5.09,5,0,0.0393338,0.8
123.36,5.09,5,0,0.0930136,0.8
123.46,5.09,5,0,0.200898,0.8
123.56,5.09,5,0,0.39555,0.8
123.66,5.09,5,0,0.710873,0.8
123.76,5.09,5,0,1.16804,0.8
123.86,5.09,5,0,1.7602,0.8
123.96,5.09,5,0,2.4411,0.8
124.06,5.09,5,0,3.1388,0.8
124.16,5.09,5,0,3.785,0.8
124.26,5.09,5,0,4.36189,0.8
124.36,5.09,5,0,4.93908,0.8
124.46,5.09,5,0,5.67583,0.8
124.56,5.09,5,0,6.78281,0.8
124.66,5.09,5,0,8.43879,0.8
124.76,5.09,5,0,10.6942,0.8
124.86,5.09,5,0,13.3929,0.8
124.96,5.09,5,0,16.1558,0.8
125.06,5.09,5,0,18.4511,0.8
125.16,5.09,5,0,19.7433,0.8
125.26,5.09,5,0,19.6751,0.8
125.36,5.09,5,0,18.2026,0.8
125.46,5.09,5,0,15.622,0.8
125.56,5.09,5,0,12.4827,0.8
125.66,5.09,5,0,9.43503,0.8
125.76,5.09,5,0,7.07571,0.8
125.86,5.09,5,0,5.86544,0.8
125.96,5.09,5,0,6.10648,0.8
126.06,5.09,5,0,7.92769,0.8
126.16,5.09,5,0,11.2552,0.8
126.26,5.09,5,0,15.7473,0.8
126.36,5.09,5,0,20.7496,0.8
126.46,5.09,5,0,25.3849,0.8
126.56,5.09,5,0,28.7489,0.8
126.66,5.09,5,0,30.2069,0.8
126.76,5.09,5,0,29.6006,0.8
126.86,5.09,5,0,27.2827,0.8
126.96,5.09,5,0,23.951,0.8
127.06,5.09,5,0,20.3658,0.8
127.16,5.09,5,0,17.0973,0.8
127.26,5.09,5,0,14.4028,0.8
127.36,5.09,5,0,12.2566,0.8
127.46,5.09,5,0,10.4787,0.8
127.56,5.09,5,0,8.87955,0.8
127.66,5.09,5,0,7.348,0.8
127.76,5.09,5,0,5.87712,0.8
127.86,5.09,5,0,4.53154,0.8
127.96,5.09,5,0,3.38033,0.8
128.06,5.09,5,0,2.4615,0.8
128.16,5.09,5,0,1.77069,0.8
128.26,5.09,5,0,1.26978,0.8
128.36,5.09,5,0,0.909958,0.8
128.46,5.09,5,0,0.645641,0.8
128.56,5.09,5,0,0.445158,0.8
128.66,5.09,5,0,0.294436,0.8
128.76,5.09,5,0,0.182388,0.8
